openDate,state,latitude,longitude,marker
5/7/2003 12:00,AL,34.7362442,-86.65867614,"34.7362442,-86.65867614"
6/12/2013 12:00,AL,34.81852032,-87.65789911,"34.81852032,-87.65789911"
7/4/1981 12:00,AL,32.83761642,-85.17742641,"32.83761642,-85.17742641"
1/15/2014 12:00,AL,34.84138078,-87.6882711,"34.84138078,-87.6882711"
6/28/2007 12:00,AL,30.65922886,-87.85346969,"30.65922886,-87.85346969"
7/4/1981 12:00,AL,32.49721795,-87.848403,"32.49721795,-87.848403"
1/23/2006 12:00,AL,33.77841567,-86.43117523,"33.77841567,-86.43117523"
10/14/1980 12:00,AL,33.78832407,-85.76127424,"33.78832407,-85.76127424"
7/4/1981 12:00,AL,33.17399494,-86.28704287,"33.17399494,-86.28704287"
8/12/1980 12:00,AL,34.012253,-85.989304,"34.012253,-85.989304"
10/13/1981 12:00,AL,34.238903,-87.59903468,"34.238903,-87.59903468"
10/5/1982 12:00,AL,32.46247499,-86.416138,"32.46247499,-86.416138"
10/29/1990 12:00,AL,33.44697599,-86.82080799,"33.44697599,-86.82080799"
7/4/1981 12:00,AL,34.30113293,-86.27640925,"34.30113293,-86.27640925"
11/3/1981 12:00,AL,34.49434719,-87.72610433,"34.49434719,-87.72610433"
2/26/1980 12:00,AL,34.34283099,-86.50266999,"34.34283099,-86.50266999"
8/18/1999 12:00,AL,30.88462024,-87.78803855,"30.88462024,-87.78803855"
7/26/1994 12:00,AL,33.41930307,-86.6756232,"33.41930307,-86.6756232"
1/15/2003 12:00,AL,33.63725468,-86.68381869,"33.63725468,-86.68381869"
7/23/2014 12:00,AL,33.61091995,-85.78195953,"33.61091995,-85.78195953"
10/20/1987 12:00,AL,32.50735066,-86.2144576,"32.50735066,-86.2144576"
1/17/2008 12:00,AL,32.60796356,-85.42636108,"32.60796356,-85.42636108"
12/31/1987 12:00,AL,34.11951251,-87.98964008,"34.11951251,-87.98964008"
8/16/1988 12:00,AL,33.64672099,-86.823395,"33.64672099,-86.823395"
9/1/1988 12:00,AL,30.79934899,-88.096901,"30.79934899,-88.096901"
7/4/1981 12:00,AL,34.14949399,-86.84211,"34.14949399,-86.84211"
10/13/1981 12:00,AL,34.74620056,-86.67575073,"34.74620056,-86.67575073"
10/26/2012 12:00,AL,34.74797822,-86.7727071,"34.74797822,-86.7727071"
11/27/1979 12:00,AL,33.84474299,-87.25358963,"33.84474299,-87.25358963"
7/4/1981 12:00,AL,32.43374299,-87.012741,"32.43374299,-87.012741"
1/21/2004 12:00,AL,30.761776,-88.22907999,"30.761776,-88.22907999"
3/1/1988 12:00,AL,33.57949099,-86.92421699,"33.57949099,-86.92421699"
11/11/1986 12:00,AL,30.68438731,-88.12666542,"30.6843873099999,-88.12666542"
11/14/1990 12:00,AL,31.14693157,-87.06729814,"31.14693157,-87.06729814"
7/21/2004 12:00,AL,30.26487842,-87.68626078,"30.26487842,-87.68626078"
8/20/1985 12:00,AL,30.67644394,-88.22541765,"30.67644394,-88.22541765"
1/29/2014 12:00,AL,30.67780099,-88.19518999,"30.67780099,-88.19518999"
7/4/1981 12:00,AL,34.74490441,-87.66979269,"34.74490441,-87.66979269"
7/4/1981 12:00,AL,33.16568,-87.518433,"33.16568,-87.518433"
4/15/1980 12:00,AL,33.71903792,-85.81810288,"33.71903792,-85.81810288"
4/12/1988 12:00,AL,31.93959742,-87.73719057,"31.93959742,-87.73719057"
10/28/1998 12:00,AL,34.68304799,-86.741341,"34.68304799,-86.741341"
10/21/1991 12:00,AL,34.84038543,-87.63311004,"34.84038543,-87.63311004"
4/3/1989 12:00,AL,33.36352989,-86.82622119,"33.36352989,-86.82622119"
8/12/1980 12:00,AL,34.21468,-86.153801,"34.21468,-86.153801"
7/4/1981 12:00,AL,34.66903612,-86.00965216,"34.66903612,-86.00965216"
4/19/2013 12:00,AL,34.589336,-86.980721,"34.589336,-86.980721"
8/12/1991 12:00,AL,31.24436759,-85.42693328,"31.24436759,-85.42693328"
1/21/1986 12:00,AL,30.38287952,-87.68342636,"30.38287952,-87.68342636"
9/24/2014 12:00,AL,31.3746891,-85.30924987,"31.3746891,-85.30924987"
10/10/1984 12:00,AL,33.44725418,-86.81938934,"33.44725418,-86.81938934"
6/30/1987 12:00,AL,30.67672356,-88.12460146,"30.67672356,-88.12460146"
7/4/1981 12:00,AL,34.78665165,-86.95898585,"34.78665165,-86.95898585"
7/4/1981 12:00,AL,34.557465,-86.998817,"34.557465,-86.998817"
6/25/2008 12:00,AL,30.641127,-88.190155,"30.641127,-88.190155"
6/30/1987 12:00,AL,32.40715272,-86.21529042,"32.40715272,-86.21529042"
6/13/2007 12:00,AL,33.35005916,-86.6179537,"33.35005916,-86.6179537"
6/30/1987 12:00,AL,34.64243698,-86.57174682,"34.64243698,-86.57174682"
9/1/1981 12:00,AL,32.570694,-85.49681099,"32.570694,-85.49681099"
